,labels,messages
0,1,"['accord', 'gran', 'company', 'no', 'plan', 'move', 'production', 'russia', 'although', 'company', 'grow']"
1,1,"['technopoli', 'plan', 'develop', 'stage', 'area', 'no', 'less', 'square', 'meter', 'order', 'host', 'company', 'work', 'computer', 'technology', 'statement', 'say']"
2,0,"['international', 'electronic', 'industry', 'company', 'elcoteq', 'lay', 'ten', 'employee', 'tallinn', 'facility', 'contrary', 'early', 'layoff', 'company', 'contract', 'rank', 'office', 'worker', 'daily', 'postimee', 'report']"
3,2,"['new', 'production', 'plant', 'company', 'would', 'increase', 'capacity', 'meet', 'expect', 'increase', 'demand', 'would', 'improve', 'use', 'raw', 'material', 'therefore', 'increase', 'production', 'profitability']"
4,2,"['accord', 'company', 'update', 'strategy', 'year', 'basware', 'target', 'long', 'term', 'net', 'sale', 'growth', 'range', 'operate', 'profit', 'margin', 'net', 'sale']"
5,2,"['financing', 'aspocomp', 'growth', 'aspocomp', 'aggressively', 'pursue', 'growth', 'strategy', 'increasingly', 'focus', 'technologically', 'demanding', 'hdi', 'print', 'circuit', 'board', 'pcb']"
6,2,"['last', 'quarter', 'componenta', 'net', 'sale', 'double', 'eur', 'eur', 'period', 'year', 'early', 'move', 'zero', 'pre', 'tax', 'profit', 'pre', 'tax', 'loss', 'eur']"
7,2,"['third', 'quarter', 'net', 'sale', 'increase', 'eur', 'mn', 'operating', 'profit', 'eur', 'mn']"
8,2,"['operating', 'profit', 'rise', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period', 'represent', 'net', 'sale']"
9,2,"['operating', 'profit', 'total', 'eur', 'mn', 'up', 'eur', 'mn', 'represent', 'net', 'sale']"
10,2,"['teliasonera', 'tlsn', 'say', 'offer', 'line', 'strategy', 'increase', 'ownership', 'core', 'business', 'holding', 'would', 'strengthen', 'eesti', 'telekom', 'offering', 'customer']"
11,2,"['stora', 'enso', 'norske', 'skog', 'real', 'upm', 'kymmene', 'credit', 'suisse', 'first', 'boston', 'cfsb', 'raise', 'fair', 'value', 'share', 'four', 'large', 'nordic', 'forestry', 'group']"
12,2,"['purchase', 'agreement', 'ton', 'gasoline', 'delivery', 'hamina', 'terminal', 'finland', 'sign', 'neste', 'oil', 'oyj', 'average', 'platt', 'index', 'september', 'plus', 'eight', 'us', 'dollar', 'per', 'month']"
13,2,"['finnish', 'talentum', 'report', 'operating', 'profit', 'increase', 'eur', 'mn', 'eur', 'mn', 'net', 'sale', 'total', 'eur', 'mn', 'up', 'eur', 'mn']"
14,2,"['clothing', 'retail', 'chain', 'sepp', 'æl', 'sale', 'increase', 'eur', 'mn', 'operating', 'profit', 'rise', 'eur', 'mn', 'eur', 'mn']"
15,2,"['consolidated', 'net', 'sale', 'increase', 'reach', 'eur', 'operating', 'profit', 'amount', 'eur', 'compare', 'loss', 'eur', 'prior', 'year', 'period']"
16,2,"['foundry', 'division', 'report', 'sale', 'increase', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period', 'sale', 'machine', 'shop', 'division', 'increase', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period']"
17,2,"['helsinki', 'afx', 'share', 'close', 'higher', 'lead', 'nokia', 'announce', 'plan', 'team', 'up', 'sanyo', 'manufacture', 'handset', 'nokian', 'tyre', 'fourth', 'quarter', 'earning', 'report', 'beat', 'analyst', 'expectation', 'dealer', 'say']"
18,2,"['incap', 'contract', 'manufacture', 'service', 'pvt', 'ltd', 'subsidiary', 'incap', 'corporation', 'finland', 'plan', 'double', 'revenue']"
19,2,"['board', 'director', 'propose', 'dividend', 'eur', 'per', 'share', 'up', 'eur', 'per', 'share', 'pay']"
20,2,"['lifetree', 'found', 'revenue', 'rise', 'average', 'margin', 'late']"
21,2,"['filippova', 'trilateral', 'agreement', 'investment', 'construction', 'technology', 'park', 'st', 'petersburg', 'sign', 'course', 'forum', 'day', 'russian', 'economy', 'open', 'helsinki', 'today']"
22,2,"['megafon', 'subscriber', 'base', 'increase', 'million', 'user', 'december', 'market', 'share', 'number', 'customer', 'amount', 'late', 'up', 'late', 'accord', 'teliasonera', 'estimate']"
23,2,"['net', 'income', 'life', 'insurance', 'double', 'eur', 'mn', 'eur', 'mn', 'net', 'income', 'non', 'life', 'insurance', 'rise', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period']"
24,2,"['net', 'sale', 'increase', 'eur', 'eur', 'pretax', 'profit', 'rise', 'eur', 'eur', 'usd']"
25,2,"['net', 'sale', 'surge', 'eur', 'teleste', 'say', 'eur', 'sale', 'come', 'acquisition', 'make']"
26,2,"['nordea', 'group', 'operating', 'profit', 'increase', 'percent', 'year', 'year', 'billion', 'euro', 'total', 'revenue', 'percent', 'billion', 'euro']"
27,2,"['operating', 'profit', 'nine', 'month', 'period', 'increase', 'eur', 'net', 'sale', 'increase', 'eur', 'compare', 'corresponding', 'period']"
28,2,"['operating', 'profit', 'nine', 'month', 'period', 'increase', 'eur', 'net', 'sale', 'increase', 'eur', 'compare', 'corresponding', 'period']"
29,2,"['operating', 'profit', 'three', 'month', 'period', 'increase', 'eur', 'revenue', 'increase', 'eur', 'compare', 'corresponding', 'period']"
30,2,"['brazilian', 'unit', 'finnish', 'security', 'solution', 'provider', 'secure', 'sign', 'up', 'new', 'client', 'last', 'year', 'online', 'news', 'source', 'reseller', 'web', 'quote', 'division', 'commercial', 'director', 'vladimir', 'brand', 'say']"
31,2,"['company', 'net', 'profit', 'rise', 'year', 'million', 'euro', 'sale', 'million', 'euro', 'up', 'year', 'company', 'say', 'early']"
32,2,"['lithuanian', 'beer', 'market', 'make', 'up', 'million', 'liter', 'january', 'rise', 'percent', 'year', 'early', 'figure', 'lithuanian', 'brewer', 'association', 'reporting', 'cite', 'result', 'member']"
33,2,"['vike', 'line', 'cargo', 'revenue', 'increase', 'eur', 'mn', 'cargo', 'volume', 'increase', 'cargo', 'unit']"
34,2,"['fair', 'value', 'property', 'portfolio', 'double', 'result', 'kapiteeli', 'acquisition', 'total', 'eur', 'million']"
35,2,"['february', 'finnish', 'medium', 'company', 'sanoma', 'oyj', 'hel', 'saa', 'say', 'yesterday', 'net', 'profit', 'almost', 'triple', 'eur', 'eur', 'announce', 'proposal', 'raise', 'payout']"
36,2,"['helsinki', 'eliiv', 'today', 'report', 'eps', 'eur', 'increase', 'eps', 'eur']"
37,2,"['aspo', 'plc', 'stock', 'exchange', 'release', 'february', 'at', 'esl', 'shipping', 'ltd', 'part', 'aspo', 'group', 'sign', 'new', 'long', 'term', 'contract', 'rautaruukki', 'corporation', 'marine', 'transport', 'raw', 'material', 'baltic', 'sea']"
38,2,"['commission', 'income', 'increase', 'eur', 'mn', 'lending', 'volume', 'rise']"
39,2,"['january', 'traffic', 'measure', 'revenue', 'passenger', 'kilometre', 'rpk', 'go', 'up', 'capacity', 'measure', 'available', 'seat', 'kilometre', 'ask', 'rise']"
40,2,"['january', 'september', 'fiskar', 'net', 'profit', 'go', 'up', 'year', 'year', 'eur', 'million', 'net', 'sale', 'eur', 'million', 'eur', 'million']"
41,2,"['net', 'income', 'life', 'insurance', 'rise', 'eur', 'mn', 'eur', 'mn', 'net', 'income', 'non', 'life', 'insurance', 'eur', 'mn', 'eur', 'mn']"
42,2,"['nyrstar', 'also', 'agree', 'supply', 'talvivaara', 'up', 'tonne', 'sulphuric', 'acid', 'per', 'annum', 'use', 'talvivaara', 'leach', 'process', 'period', 'supply', 'zinc', 'concentrate']"
43,2,"['sale', 'department', 'store', 'division', 'hobby', 'hall', 'increase', 'sale', 'clothing', 'store', 'subsidiary', 'seppala', 'decrease']"
44,2,"['sale', 'rise', 'export', 'market']"
45,2,"['sale', 'increase', 'due', 'grow', 'market', 'rate', 'increase', 'operation']"
46,2,"['agreement', 'strengthen', 'long', 'term', 'partnership', 'nokia', 'siemens', 'network']"
47,2,"['agreement', 'sign', 'biohit', 'healthcare', 'ltd', 'uk', 'base', 'subsidiary', 'biohit', 'oyj', 'finnish', 'public', 'company', 'develop', 'manufacture', 'market', 'liquid', 'handling', 'product', 'diagnostic', 'test', 'system']"
48,2,"['company', 'also', 'estimate', 'already', 'carry', 'investment', 'lead', 'increase', 'net', 'sale', 'reach', 'eur', 'million']"
49,2,"['company', 'order', 'book', 'stand', 'bln', 'euro', 'bln', 'september', 'up', 'pct', 'year', 'international', 'order', 'amount', 'mln', 'euro', 'mln']"
50,2,"['company', 'say', 'paper', 'demand', 'increase', 'main', 'market', 'include', 'publication', 'paper', 'increase', 'average', 'paper', 'price', 'percent', 'compare', 'last', 'year']"
51,2,"['world', 'second', 'large', 'stainless', 'steel', 'maker', 'say', 'net', 'profit', 'three', 'month', 'period', 'dec', 'surge', 'euro', 'million', 'us', 'million', 'euro', 'us', 'per', 'share', 'euro', 'million', 'euro', 'per', 'share', 'previous', 'year']"
52,2,"['within', 'framework', 'partnership', 'nokia', 'siemens', 'network', 'sign', 'initial', 'framework', 'purchase', 'agreement', 'sitronic', 'subsidiary', 'jsc', 'mikron', 'large', 'manufacturer', 'exporter', 'microelectronic', 'component', 'russia']"
