,labels,messages
0,2,"['accord', 'gran', 'company', 'no', 'plan', 'move', 'production', 'russia', 'although', 'company', 'grow']"
1,2,"['technopoli', 'plan', 'develop', 'stage', 'area', 'no', 'less', 'square', 'meter', 'order', 'host', 'company', 'work', 'computer', 'technology', 'statement', 'say']"
2,0,"['international', 'electronic', 'industry', 'company', 'elcoteq', 'lay', 'ten', 'employee', 'tallinn', 'facility', 'contrary', 'early', 'layoff', 'company', 'contract', 'rank', 'office', 'worker', 'daily', 'postimee', 'report']"
3,4,"['new', 'production', 'plant', 'company', 'would', 'increase', 'capacity', 'meet', 'expect', 'increase', 'demand', 'would', 'improve', 'use', 'raw', 'material', 'therefore', 'increase', 'production', 'profitability']"
4,4,"['accord', 'company', 'update', 'strategy', 'year', 'basware', 'target', 'long', 'term', 'net', 'sale', 'growth', 'range', 'operate', 'profit', 'margin', 'net', 'sale']"
5,4,"['financing', 'aspocomp', 'growth', 'aspocomp', 'aggressively', 'pursue', 'growth', 'strategy', 'increasingly', 'focus', 'technologically', 'demanding', 'hdi', 'print', 'circuit', 'board', 'pcb']"
6,4,"['last', 'quarter', 'componenta', 'net', 'sale', 'double', 'eur', 'eur', 'period', 'year', 'early', 'move', 'zero', 'pre', 'tax', 'profit', 'pre', 'tax', 'loss', 'eur']"
7,4,"['third', 'quarter', 'net', 'sale', 'increase', 'eur', 'mn', 'operate', 'profit', 'eur', 'mn']"
8,4,"['operate', 'profit', 'rise', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period', 'represent', 'net', 'sale']"
9,4,"['operate', 'profit', 'total', 'eur', 'mn', 'up', 'eur', 'mn', 'represent', 'net', 'sale']"
10,4,"['teliasonera', 'tlsn', 'say', 'offer', 'line', 'strategy', 'increase', 'ownership', 'core', 'business', 'holding', 'would', 'strengthen', 'eesti', 'telekom', 'offering', 'customer']"
11,4,"['stora', 'enso', 'norske', 'skog', 'real', 'upm', 'kymmene', 'credit', 'suisse', 'first', 'boston', 'cfsb', 'raise', 'fair', 'value', 'share', 'four', 'large', 'nordic', 'forestry', 'group']"
12,4,"['purchase', 'agreement', 'ton', 'gasoline', 'delivery', 'hamina', 'terminal', 'finland', 'sign', 'neste', 'oil', 'oyj', 'average', 'platt', 'index', 'september', 'plus', 'eight', 'us', 'dollar', 'per', 'month']"
13,4,"['finnish', 'talentum', 'report', 'operating', 'profit', 'increase', 'eur', 'mn', 'eur', 'mn', 'net', 'sale', 'total', 'eur', 'mn', 'up', 'eur', 'mn']"
14,4,"['clothing', 'retail', 'chain', 'sepp', 'æl', 'sale', 'increase', 'eur', 'mn', 'operate', 'profit', 'rise', 'eur', 'mn', 'eur', 'mn']"
15,4,"['consolidated', 'net', 'sale', 'increase', 'reach', 'eur', 'operate', 'profit', 'amount', 'eur', 'compare', 'loss', 'eur', 'prior', 'year', 'period']"
